title,rate,comments,likes,shares,total_time,number people,difficulty,cost,time_preparation,time_cooking,ingredients,recipe,link,gender,category
Verrine avocat-truite fumée,4.8,203,46k,940,15 min,4,très facile,bon marché,15 min,no data,"['avocat bien mûr', 'tranches de truite fumée (ou saumon)', 'g de fromage frais', 'citron', 'g de fromage ail et fines herbes', 'ciboulette', ""pot d'oeuf de truite""]","Ecraser la pulpe de l'avocat dans un bol. Saler très peu, poivrer et citronner. Déposer 1/4 de la préparation dans chaque verrine. Mélanger le fromage frais et le fromage ail et fines herbes dans un bol avec 1 cuillère à soupe d'eau pour fluidifier. Déposer dans les verrines en une seconde couche. Couper les tranches de saumon fumé en petits morceaux, répartir dans les verrines et mettre au frais. Au moment de servir, décorer de quelques oeufs de truite, brins de ciboulette, un filet de citron et un tour de moulin à poivres 5 baies.",https://www.marmiton.org/recettes/recette_verrine-avocat-truite-fumee_44183.aspx,pas noel,aperitif/starter
Tarte à la tomate rapide,4.5,201,18k,136,40 min,4,très facile,bon marché,10 min,30 min,"['pâte feuilletée', 'tranches de fromage à raclette', 'tomates', 'moutarde', 'herbes de provence']",Disposer la pâte dans un moule à tarte. Etaler la moutarde en couche fine sur toute la surface de la pâte. Ajouter les tranches de raclette afin que cela tapisse entierement le moule. Plonger les tomates dans l'eau bouillante pendant moins d'1 minute dans l'eau afin de retirer la peau plus facilement puis les couper en rondelles très fines. Les disposer dans le plat. Ajouter les herbes de Provence. Cuire à four chaud (170°C) pendant 30 minutes environ.,https://www.marmiton.org/recettes/recette_tarte-a-la-tomate-rapide_11490.aspx,pas noel,aperitif/starter
Feuilletés au chèvre et aux pommes,4.7,201,21k,99,20 min,4,très facile,bon marché,5 min,15 min,"['bûche de fromage de chèvre (150 g)', 'pâte feuiletée prête à dérouler', 'oeuf', 'pomme type golden ou 1 poire williams', 'ciboulette ou herbes de provence']","Avec un verre découpez 8 rondelles dans la pâte feuilletée. Coupez 4 rondelles de fromage de chèvre de 1,5 à 2 cm de large. Coupez 4 rondelles de pomme ou de poire (enlevez d'abord la peau et les pépins). Faites une sorte de hamburger de la façon suivante : une rondelle de pâte + une rondelle de pomme + une rondelle de chèvre + ciboulette ou herbes + une rondelle de pâte. Collez les bords des rondelles de pâte (astuce : humecter légèrement les bords avec de l'eau pour qu'elles collent). Faites dorer avec le jaune d'oeuf. Enfournez à feu moyen à fort pendant 15 min jusqu'à ce que la pâte soit dorée et cuite. Servez chaud avec de la salade verte ou de la mâche. Variante : pour faire joli vous pouvez ajouter des graines de sésame ou de pavot par dessus, mais si vous n'en avez pas, un peu d'herbes de Provence fera l'affaire.",https://www.marmiton.org/recettes/recette_feuilletes-au-chevre-et-aux-pommes_28846.aspx,pas noel,aperitif/starter
Salade de kiwis et tomates de Lili,4.6,195,11k,68,5 min,2,très facile,bon marché,5 min,no data,"['kiwis', 'tomates', 'poivre', 'sel', 'huile au choix', 'citron ou vinaigre']","Eplucher les kiwis et les tomates, les couper en rondelles. Disposer dans un plat, saler, arroser d'un peu d'huile, ajouter le jus d'un demi-citron ou un peu de vinaigre selon vos préférences en matière de vinaigrette. Pour une salade de kiwis seuls, on peut se dispenser du vinaigre ou du citron, ils sont parfois assez acides.",https://www.marmiton.org/recettes/recette_salade-de-kiwis-et-tomates-de-lili_28806.aspx,pas noel,aperitif/starter
Pommes de terre farcies à l’avocat et au Tartare Ail & Fines herbes,0,0,0,0,1 h,4,facile,bon marché,20 min,40 min,"['g de tartare ail & fines herbes', 'pommes de terre de grosse taille (600g au total)', 'tomates cerise (225g)', ""g d'avocat"", 'oignon rouge (80g)', 'cuillères à soupe de jus de citron (30g)', 'g de zeste de citron', 'g de persil plat', 'g de ciboule', 'g de graines germées et graines de courge', ""g d'huile neutre"", 'goutte de sauce piquante type tabasco (selon les goûts)']","Préchauffer le four à 180°C (thermostat 6). À l’aide d’une fourchette, piquer les pommes de terres et les badigeonner légèrement d’huile neutre. Déposer les pommes de terre sur une plaque recouverte de papier sulfurisé, et enfourner pour 40 minutes. Pendant ce temps, peler et émincer finement l’oignon rouge. 
Hacher la ciboule et le persil plat. Dans un bol, écraser la chair des avocats.
Ajouter le jus de citron, le tabasco, la ciboule, le persil plat ainsi que les oignons rouges. Laver et couper les tomates cerise en deux. À l’aide d’un fouet ou d’une fourchette, délayer le Tartare. Ajouter un tour de moulin de poivre et les zestes d’un citron. Ajouter les tomates cerises et mélanger délicatement. Laisser tiédir les pommes de terre et découper la partie supérieure pour chacune d’entre elles. À l’aide d’une cuillère, creuser une partie de la chair des pommes de terre. 
Conserver la seconde partie de la chair pour une autre recette. Garnir les pommes de terres avec la purée d’avocat et le mélange au fromage frais.
Recouvrir de quelques graines de courge et de graines germées.",https://www.marmiton.org/recettes/recette_pommes-de-terre-farcies-a-l-avocat-et-au-fromage_528892.aspx,pas noel,aperitif/starter
Soupe chinoise au poulet,4.7,195,28k,371,1h05,3,facile,Coût moyen,45 min,20 min,"['blancs de poulet coupés en lamelles', ""cuillère à soupe d'huile"", ""gousse d'ail"", 'oignon émincé', 'carotte coupée en bâtonnets', 'g de germes de soja', 'cl de bouillon de volaille', 'cuillère à soupe de farine ou maïzena', 'cuillère à soupe de piment (ou des gouttes de tabasco)', 'cuillère à café de gingembre en poudre', 'cuillère à soupe de sauce soja', 'cuillère à soupe de vinaigre', 'g de nouilles chinoises', 'champignons noirs', 'poivre', 'sel']","Faites chauffer l'huile dans une cocotte ou un wok et faites-y revenir le poulet avec l'ail, l'oignon, le gingembre et les légumes, et faites revenir quelques minutes. Ajoutez le bouillon et laissez cuire de 12 à 15 min. Délayez la maïzena avec du bouillon et versez-la dans le plat. Ajoutez les nouilles et les champignons préalablement réhydratés. Assaisonner à votre goût avec le piment, la sauce soja et le vinaigre et laissez cuire quelques minutes. C'est prêt !",https://www.marmiton.org/recettes/recette_soupe-chinoise-au-poulet_31812.aspx,pas noel,aperitif/starter
Quiche au thon,4.7,193,19k,741,30 min,6,très facile,bon marché,10 min,20 min,"['pâte feuilletée', 'boîte de thon', 'tomates', 'gruyère (quantité selon vos goûts)', 'oeufs', 'pot de crème fraîche et un peu de lait', 'moutarde', 'poivre', 'sel']","Placer la pâte dans un moule et la piquer avec une fourchette. Badigeonner le fond avec de la moutarde. Écraser le thon puis le placer sur la pâte. Couper les tomates en tranches et les placer sur le thon. Mélanger les œufs, la crème et le lait (et du gruyère selon les goûts), avec sel et poivre, puis verser sur la pâte (ça doit recouvrir le thon et les tomates). Recouvrir le tout de gruyère.... Cuire au four à 200°C pendant 20 à 25 min.",https://www.marmiton.org/recettes/recette_quiche-au-thon_18677.aspx,pas noel,aperitif/starter
"Quiche tomate, jambon, chèvre",4.7,192,32k,204,50 min,8,très facile,bon marché,20 min,30 min,"['rouleau de pâte brisée', 'g de jambon', 'tomates', 'fromage de chèvre', 'oeufs', 'cl de crème liquide', 'poivre', 'sel', 'persil', 'gruyère râpé']","Préchauffer le four à 180°C. Etaler la pâte brisée dans un moule à tarte. Disposer le jambon coupé en dés ou en morceaux, y ajouter des morceaux de fromage de chèvre et terminer par les tomates coupées en tranches. Battre avec une fourchette les oeufs, y ajouter la crème liquide, ainsi que le sel, le poivre et le persil. Verser cette préparation sur la quiche et parsemer du gruyère râpé. Il ne reste plus qu'à enfourner et laisser cuire environ 30 mn jusqu'à ce que la quiche soit bien dorée. Vous pouvez accompagner cette quiche d'une salade verte avec des cerneaux de noix. Bon appétit.",https://www.marmiton.org/recettes/recette_quiche-tomate-jambon-chevre_32961.aspx,pas noel,aperitif/starter
Soupe veloutée à la carotte,4.8,191,19k,124,1h45,4,très facile,bon marché,15 min,1h30,"['carottes', 'oignon', 'poireau', ""gousse d'ail"", ""cuillères à soupe d'huile d'olive"", 'cuillère à soupe de cumin en poudre', 'botte de persil', 'cl de crème liquide', ""l d'eau"", 'cube de bouillon de volaille']","Éplucher les carottes et les couper en rondelles pas trop grosses afin qu'elles cuisent plus vite. Découper le poireau en morceaux ainsi que l'oignon, puis écraser la gousse d'ail. Faire revenir tous les légumes dans la marmite 5 min dans 3 cuillères à soupe d'huile d'olive. Préparer le bouillon de volaille puis le verser sur les légumes. Au 1er bouillon, baisser la cuisson sur feu moyen et laisser Cuire ainsi pendant au moins 1h15 . Surveiller de temps en temps afin de vérifier qu'il ne manque pas de l'eau. Allonger le temps de cuisson si les carottes ne sont pas assez cuites pour être mixées. Une fois tous les légumes cuits, mixer puis ajouter la crème liquide. Mixer de nouveau. Équeuter le persil, puis l'ajouter dans la soupe (ne pas le faire cuire en même temps que les autres légumes). Ajouter la cuillère à soupe de cumin, puis mixer encore une fois. Saler et poivrer selon votre goût.",https://www.marmiton.org/recettes/recette_soupe-veloutee-a-la-carotte_33446.aspx,pas noel,aperitif/starter
"Bowl gourmand quinoa, courge rôtie, grenade et morceaux de Fol Epi",0,0,0,0,40 min,4,facile,bon marché,15 min,25 min,"['g de fol epi', 'g de quinoa', 'g de courge type butternut', 'g de graines de grenade', 'g de cranberries séchées (facultatif)', 'cuillères à soupe de graines de courge (20g)', ""cuillères à soupe d'huile d'olive (20g)"", ""gousse d'ail (10g)"", 'cuillère à café de mélange 4 épices (5g)', 'g de poivre']","Couper le Fol Epi en dés avant de réserver.
Cuire le quinoa dans de l’eau bouillante, selon les indications du paquet et laisser refroidir. Couper la courge en cubes en enlevant les graines et la peau.
Peler et presser la gousse d’ail. Sur une plaque recouverte de papier cuisson, déposer les cubes de butternut.
Poivrer, et ajouter l’ail et le mélange 4 épices. Ajouter l’huile d’olive et enfourner pour 20 minutes.
La courge est prête lorsque les morceaux sont fondants. Composer les bowls. Dans chaque contenant, répartir le quinoa et ajouter la courge rôtie aux épices, le Fol Epi, les graines de grenade et les cranberries.
Saupoudrer de graines de courges avant de déguster.",https://www.marmiton.org/recettes/recette_bowl-quinoa-courge-rotie-grenade-morceaux-de-fol-epi_528897.aspx,pas noel,aperitif/starter
Marbré Warhol,4.6,190,10k,79,15 min,6,très facile,bon marché,15 min,no data,"['fromages de chèvre frais', 'g de betterave rouge cuite', 'sel', 'poivre moulu', 'basilic en tige', ""huile d'olive""]","Dans un bol, mélangez les fromages de chèvres et deux cuillères d'huile d'olive afin d'obtenir une crème onctueuse. Salez et poivrez. Coupez les betteraves en lamelles. Tapissez avec un film alimentaire transparent 4 ramequins en le laissant dépasser largement. Alternez une couche de chèvre avec une couche de betterave. terminez par la betterave. Fermez le film alimentaire et tassez de façon à rendre compacte la préparation. Mettez au réfrigérateur minimum 2 h. Pour le nappage, mixez le basilic et l'huile d'olive. Démoulez les ramequins et nappez avec la sauce au basilic et décorez avec des feuilles de basilic fraîches.",https://www.marmiton.org/recettes/recette_marbre-warhol_19197.aspx,pas noel,aperitif/starter
Soupe de légumes poêlés,4.7,179,14k,46,1h15,4,très facile,bon marché,15 min,1 h,"['carottes', 'pommes de terre', 'oignon (taille moyenne)', 'tomate', 'poireau', 'cube de bouillon (légume ou volaille)']","Epluchez, lavez et coupez vos légumes. Faites revenir dans une cocotte - avec trois cuillères huile et un morceau de beurre - les carottes, les pommes de terre et le poireau, avec deux grosses pincées de sel, pendant 10 minutes. Rajoutez l'oignon coupé en rondelles et laissez sur le feu encore 5 min en remuant régulièrement. Ajoutez de l'eau de façon à ce qu'elle recouvre largement les légumes, portez à ébullition, ajoutez le cube de volaille et la tomate coupée en quartier. Mettez le couvercle et laissez cuire à feu doux pendant environ une heure, puis passez les légumes au mixeur.",https://www.marmiton.org/recettes/recette_soupe-de-legumes-poeles_30894.aspx,pas noel,aperitif/starter
Soupe de champignons,4.7,180,15k,123,40 min,5,facile,bon marché,15 min,25 min,"['barquette de champignon de paris', 'pommes de terre moyennes', 'oignon', ""gousses d'ail"", 'poivre', 'sel', 'muscade', 'persil', 'kub or', 'crème liquide (environ 20 cl)']","Dans une cocotte, faire revenir dans un peu de beurre : les champignons, les pommes de terres, l'oignon émincé et l'ail émincé. Laisser revenir quelques minutes pour faire ""suer"" les champignons en remuant bien. Une fois le tout revenu, mettre un peu plus d'eau que le niveau de légumes et laisser frémir à feu doux en mélangeant de temps en temps. Ajouter sel, poivre, muscade et persil ainsi que le bouillon émietté. Une fois la soupe cuite, ajouter la crème mélanger et mixer la soupe. Servir chaud.",https://www.marmiton.org/recettes/recette_soupe-de-champignons_24874.aspx,pas noel,aperitif/starter
Tarte au chèvre et aux poireaux,4.6,178,22k,93,35 min,6,très facile,bon marché,15 min,20 min,"['g de farine', 'g de beurre', 'pincée de sel', 'cl de crème fraîche épaisse', 'oeufs', 'verre de lait', 'poireaux', 'bûche de chèvre (ou 150 gr de fromage de chèvre du même type)', 'emmental râpé', 'poivre', 'sel', ""cuillères à soupe d'épices orientale)""]","Préparer la pâte avec la farine, le beurre, le sel et de l'eau pour obtenir un mélange souple mais qui ne colle pas. Abaisser et poser dans un plat à tarte. Sur la pâte, disposer le fromage de chèvre coupé en petites tranches. Pendant ce temps, faire suer les poireaux coupés en rondelles dans un peu de beurre. Dans un saladier mélanger la crème, le lait, les oeufs, le râpé puis ajouter les poireaux. Saler, poivrer et ajouter la nigelle. Préchauffer le four et faire cuire jusqu'à ce que le dessus soit bien doré.",https://www.marmiton.org/recettes/recette_tarte-au-chevre-et-aux-poireaux_18100.aspx,pas noel,aperitif/starter
Tarte salée étoilée de Noël au Saint Agur,4,1,0,0,45 min,6,facile,bon marché,20 min,25 min,"['g de saint agur', 'g de potimarron en purée', 'g de noix', 'oeufs (100g)', 'bonne pincée de poivre (6g)', 'g de lait', 'pincée de mélange 4 épices (4g)', 'g de farine', 'oeuf', 'g de fromage blanc']","Pour la pâte : mélanger la farine, l’œuf, le fromage blanc. Pétrir la pâte 5 minutes. Filmer et laisser reposer minimum 40 minutes au frais. Dans un bol mélanger la purée de potimarron, les œufs, le mélange 4 épices et le poivre.
Verser la préparation dans un moule à tarte. Ajouter le Saint Agur en morceaux sur le dessus ainsi que des cerneaux de noix grossièrement hachés. Etaler la pâte et découper la pâte brisée en étoiles de différentes tailles. Déposer les étoiles sur le dessus en les superposant pour recouvrir tout le plat. Badigeonner les étoiles de lait. Enfourner pendant 25 minutes dans un four à 180°C. Servir avec une salade verte.",https://www.marmiton.org/recettes/recette_tarte-salee-etoilee-de-noel-au-saint-agur_528994.aspx,pas noel,aperitif/starter
Cake salé aux oignons et aux lardons,4.7,177,17k,14,45 min,6,très facile,bon marché,15 min,30 min,"['oeufs', 'g de fromage blanc', 'oignons (selon la grosseur)', 'sachet de levure', 'cuillère à soupe de concentré de tomates', 'g de gruyère râpé', 'g de lardons fumés', 'g de farine', 'poivre', 'sel']","Chemiser un moule à cake. Eplucher, émincer les oignons. Les faire revenir doucement avec les lardons fumés sans les faire colorer. Battre les oeufs entiers avec le sel, le poivre, le fromage blanc, le concentré de tomates. Ajouter la farine et la levure, le gruyère, puis le mélange oignons + lardons. Vérifier l'asaisonnement. Verser dans le moule. Cuire à 180°C pendans 10 mn, puis à 160°C pendant 20 à 25 mn (vérifier la cuisson avec la pointe d'un couteau).",https://www.marmiton.org/recettes/recette_cake-sale-aux-oignons-et-aux-lardons_23786.aspx,pas noel,aperitif/starter
Terrine de courgettes au saumon,4.7,175,12k,203,1h05,6,très facile,bon marché,20 min,45 min,"['courgettes (pas trop grosses)', 'oeufs', 'cl de crème liquide', 'noix de beurre', 'cuillères à soupe de farine (ou maïzena)', 'demi de curry', 'tranches de saumon fumé', 'cuillères à soupe de basilic et de ciboulette hachés', 'poivre', 'sel']","Laver les courgettes et couper les extrémités. Les découper ensuite en lamelles dans le sens de la longueur. Cuire les lamelles à la vapeur ou dans l'eau salée (10 min). Les égoutter sur du papier absorbant. Battre au fouet les oeufs avec la crème, la farine, le curry et le sel et poivre jusqu'à l'obtention d'une crème onctueuse. Préchauffez le four à thermostat 7 (210°C). Beurrez un moule à cake dans lequel vous mettrez 1 couche de crème, puis 1 couche de lamelles, puis une couche de saumon + fines herbes + poivre... et ainsi de suite pour remplir votre moule. Cuire pendant 45 min. Servir tiède ou froid avec des tomates crues nappées d'huile d'olive, ainsi qu'une petite salade mélangée.",https://www.marmiton.org/recettes/recette_terrine-de-courgettes-au-saumon_18836.aspx,pas noel,aperitif/starter
Tarte salée au chèvre et aux pruneaux,4.6,169,29k,78,40 min,4,très facile,bon marché,10 min,30 min,"['pâte feuilletée', 'chèvre bûche', 'g de lardons', 'g de pruneau dénoyautés', 'oeufs', 'cuillères à soupe de crème', 'cl de lait', 'poivre', 'sel', 'thym']","Etaler la pâte sur le fond de tarte. Recouvrir le fond de chèvre bûche coupé en fines tranches, puis parsemer de thym. Faire revenir dans une poêle les lardons et les pruneaux coupés en deux. Lorsqu'ils sont cuits, les répartir uniformément sur le chèvre. Ajouter le mélange oeuf, crème, lait salé et poivré. Faire cuire 25 min, à 200°C (thermostat 7) dans un four à chaleur tournante ou une demi-heure dans un four normal.",https://www.marmiton.org/recettes/recette_tarte-salee-au-chevre-et-aux-pruneaux_22973.aspx,pas noel,aperitif/starter
Terrine de canard noisettes et pistaches de Brigitte,4.8,166,8.1k,14,1h30,1,facile,Coût moyen,30 min,1 h,"['magrets de canard (300 ou 350 g chacun)', 'g de porc haché (chair à saucisse)', 'cuillère à soupe de farine', 'oeuf', 'bouquet de persil', 'échalotes', ""gousses d'ail"", ""cuillères à soupe d'huile d'olive"", 'cuillère à soupe de herbes de provence', 'biscuits à la cuillère bien bombée de sel de guérande', 'cuillères à café de poivre concassé fin', 'cuillères à café de poivre vert égoutté', ""verre de liqueur de cognac (ou d'armagnac)"", 'g de noisettes grossièrement concassées', 'g de pistaches grossièrement concassées', ""cuillère à soupe d'orange confits"", 'cuillère à soupe de pistaches entières', 'feuilles de laurier']","Cuisson et repos : 1h de cuisson + 2h de repos au four + 1 nuit (ou 24 h) au réfrigérateur Détacher avec un couteau effilé la peau des deux magrets. Tapisser le fond de la terrine avec les deux peaux, se chevauchant légèrement et remontant sur les bords en épousant bien la forme de la terrine. Puis déposer l'un des deux magrets. Hacher le persil, les échalotes et l'ail. Hacher grossièrement le deuxième magret et le mélanger à la chair de porc hachée. Mélanger. Ajouter l’oeuf, la farine, le mélange persil-échalotes-ail, l’huile d’olive. Puis les herbes de Provence, le sel, le poivre. Mélanger. Enfin les noisettes et les pistaches concassées, les baies de poivre vert, les zestes d’orange confite coupés en petits morceaux et le petit verre d’alcool. Malaxer bien le tout jusqu’à complète homogénéïté. Poser cette farce sur le magret dans la terrine. Appuyer. Presser bien pour que tout soit bien tassé. Disposer quelques feuilles de laurier à la surface. Fermer et enfourner dans un four non préchauffé, pour 1 heure à 220/230°C (thermostat 7-8). Puis laisser la terrine dans le four éteint pendant 2 ou 3 heures. Au bout de ce laps de temps, préparer un sachet de gelée au Porto. Vider doucement le gras liquide de la terrine. Remplacer par la gelée de manière à recouvrir légèrement l’ensemble. Laisser une nuit au réfrigérateur.",https://www.marmiton.org/recettes/recette_terrine-de-canard-noisettes-et-pistaches-de-brigitte_33172.aspx,pas noel,aperitif/starter
Millefeuille à la chantilly et au Nutella®,5,1,244,0,1 h,40,Niveau moyen,bon marché,40 min,20 min,"['rouleau de pâte feuilletée', 'g de sucre glace', 'g de nutella®', 'g de crème fraîche entière liquide', 'g de sucre glace']","Préchauffez le four à 180°C (thermostat 6) et positionnez une grille à mi-hauteur. Déposez la pâte feuilletée sur une plaque à pâtisserie recouverte de papier sulfurisé. À l’aide d’une fourchette, faites des petits trous superficiels dans la pâte. Saupoudrez avec 50 g de sucre glace. Recouvrez avec une autre feuille de papier sulfurisé et déposez par-dessus une autre plaque à pâtisserie. Enfournez pendant 20 minutes. Retirez du four la plaque à pâtisserie du dessus et continuez la cuisson pendant 5 min. Sortez la pâte du four et laissez-la complètement refroidir. Découpez la pâte feuilletée en carrés de 2,5 cm x 2,5 cm, puis coupez chaque carré en deux dans le sens de la hauteur. Fouettez la crème fraîche avec 60 g de sucre glace pour faire une chantilly. Assemblez la moitié des carrés avec 5 g de Nutella® au milieu et de la chantilly sur le dessus… … et l’autre moitié avec de la chantilly au milieu et 5 g de Nutella® sur le dessus. Disposez les carrés sur une assiette de service de façon à représenter échiquier. Servez immédiatement.",https://www.marmiton.org/recettes/recette_millefeuille-a-la-chantilly-et-au-nutella_346557.aspx,pas noel,aperitif/starter
Soupe aux fanes de radis,4.7,166,6.7k,259,50 min,4,très facile,bon marché,30 min,20 min,"['botte de radis', 'pommes de terre', 'tablettes de bouillon de volaille', 'oignon', 'g de beurre', 'cuillères à soupe de crème', 'poivre', 'sel']","Peler et émincer l'oignon. Eplucher les pommes de terre et les couper en rondelles. Laver les fanes de radis. Dans une cocotte, faire fondre le beurre. Y faire revenir l'oignon sans le colorer. Ajouter les pommes de terre et les fanes de radis. Faire revenir l'ensemble 5 mn. Ajouter le bouillon. Laisser cuire 20 mn à couvert. Ajouter au dernier moment la crème et mixer l'ensemble.",https://www.marmiton.org/recettes/recette_soupe-aux-fanes-de-radis_16365.aspx,pas noel,aperitif/starter
Verrine mousse de jambon et tomates confites,4.6,164,33k,472,15 min,8,facile,bon marché,15 min,no data,"['g de jambon blanc', 'carré frais', 'cl de crème liquide', ""cuillère à café d'ail semoule"", 'paprika et du poivre', ""pot de tomate séchée à l'huile"", ""cuillère à café d'ail semoule"", 'poignée de pignons de pin', 'poignée de parmesan râpé', 'huile des tomates séchées pour lier la préparation']","Mixer ensemble les ingrédients de chaque groupe pour obtenir deux préparations. Laisser reposer au frais environ une heure. Garnir des petits verres avec une couche de mousse de pesto de tomate, une couche de mousse de jambon et terminer par un morceau de jambon cru et une feuille de basilic Remarque: ces deux préparations peuvent aussi servir à agrémenter un plat de pâtes.",https://www.marmiton.org/recettes/recette_verrine-mousse-de-jambon-et-tomates-confites_10927.aspx,pas noel,aperitif/starter
Velouté de potiron,4.7,164,16k,76,1h15,4,très facile,bon marché,30 min,45 min,"['quartier de potiron', 'oignon', 'brique de crème fraîche liquide', 'poivre', 'sel', 'muscade en poudre', 'huile', 'persil ciselé']","Couper la chair du potiron en gros dés. Couper l'oignon en lamelles et le faire revenir dans une cocotte avec un peu d'huile. Ajouter les dés de courge dans la cocotte et recouvrir d'eau (juste au niveau de la courge, pas plus). Laisser bouillir environ 45 min à 1 h. Ajouter la crème liquide, saler, poivrer et ajouter de la muscade selon votre goût. Mixer. Au moment de servir, parsemer de persil ciselé.",https://www.marmiton.org/recettes/recette_veloute-de-potiron_18663.aspx,pas noel,aperitif/starter
Verrines bicolores kiwi-saumon,4.8,162,25k,408,15 min,8,très facile,Coût moyen,15 min,no data,"['kiwis', 'tranches de saumon fumé', 'cl de crème fraîche liquide', 'g de mayonnaise', 'ciboulette']","Couper les kiwis et les traches de saumon en dés. Disposer dans les verrines. (kiwi en-dessous, saumon au-dessus. Pour la sauce, mélanger la crème liquide et la mayonnaise avec la ciboulette et un filet de jus de citron. Verser la sauce sur le saumon. Et voilà !",https://www.marmiton.org/recettes/recette_verrines-bicolores-kiwi-saumon_166172.aspx,pas noel,aperitif/starter
Sablés de Noël fourrés au Nutella®,4.3,3,600,15,1h20,20,facile,bon marché,1h10,10 min,"['g de farine', 'g de sucre', 'g de beurre mou', 'pincée de sel', ""cuillère à café d'épices à pain d’épices"", 'g de nutella®']","Dans un bol, mélangez ensemble tous les ingrédients, sauf le Nutella®, et pétrissez 1 ou 2 minutes jusqu’à obtenir une pâte souple. À l’aide d’un rouleau à pâtisserie, étalez la pâte entre deux feuilles de papier sulfurisé sur une épaisseur d’environ 4 mm. Découpez la pâte à l’aide d’un emporte pièce ou tout autre forme que vous pouvez créer vous-même en découpant une feuille de carton et en l’utilisant comme un pochoir. Placez les biscuits au réfrigérateur pendant 30 min. Préchauffez le four à 160°C et positionnez une grille à mi-hauteur. Déposez les biscuits sur une plaque de cuisson recouverte de papier sulfurisé. Faites cuire pendant 10-11 minutes, retirez-les du four et laissez-les refroidir sur la plaque. Remplissez une poche à douille munie d’une petite douille (environ 2 mm) avec le Nutella®, garnissez la moitié des biscuits avec 5 g de Nutella® chacun et assemblez avec les biscuits restants. Finissez en décorant vos sablés avec du Nutella®.",https://www.marmiton.org/recettes/recette_sables-de-noel-fourres-au-nutella_346547.aspx,pas noel,aperitif/starter
Le vrai taboulé libanais,4.7,161,19k,508,25 min,5,facile,bon marché,25 min,no data,"['tomates fermes', ""botte d'oignon verts"", 'bottes de persil plat', 'botte de menthe fraîche', 'petite poignée de boulgour brun moyen (blé concassé)', 'citron', ""cuillères d'huile d'olive"", 'pincées de sel']","Avant de commencer mettre une poignée de boulghour dans un bol d'eau pendant 15 mn et laisser ramollir. Laver et équeuter le persil, puis le couper au couteau (ou aux ciseaux si l'on préfère). Répéter l'opération avec la menthe, vous devez obtenir des feuilles d'1 cm environ. Mettre le tout dans un saladier. Couper les oignons verts très fins, les tomates en petits dés, et mettre le tout dans le saladier. Lorsque le boulghour ne croque plus, le sortir de l'eau, et le presser entre les mains pour l'essorer. Le mettre dans le saladier avec le reste. Assaisonnement : presser 1 citron entier et arroser le contenu du saladier. Ajouter le sel et les 3 cuillères à soupe d'huile d'olive. L'aspect du taboulé doit être brillant, pour indiquer qu'il y a suffisamment d'huile d'olive.",https://www.marmiton.org/recettes/recette_le-vrai-taboule-libanais_26796.aspx,pas noel,aperitif/starter
Soupe au potiron,4.6,156,20k,50,1h25,6,très facile,bon marché,25 min,1 h,"['kg de potiron', 'g de carotte', ""g d'oignon"", 'g de poireau', 'beurre', ""gousses d'ail"", 'bouquet garni', 'cl de crème fraîche', 'sel']","Tailler les légumes en gros dés. Les faire suer dans le beurre. Mouiller avec 1,5 l d'eau. Ajouter l'ail écrasé et le bouquet garni. Cuire 1 heure. Passer au moulin à légume ou au mixer. Ajouter la crème fraîche, et servir chaud.",https://www.marmiton.org/recettes/recette_soupe-au-potiron_18643.aspx,pas noel,aperitif/starter
Palmiers pour l'apéritif!,4.8,156,30k,615,30 min,4,très facile,bon marché,15 min,15 min,"['rouleau de pâte feuilletée', 'tranches de jambon blanc', 'g de gruyère râpé']","Dérouler la pâte feuilletée. La recouvrir des tranches de jambon puis de gruyère râpé. Rouler la pâte sur elle-même jusqu'à la moitié. Faire de même avec l'autre moitié pour réunir les 2 côtés. Placer le tout au congélateur une dizaine de minutes afin de durcir la pâte (sinon elle serait impossible à découper). Découper alors en petites lamelles: vous obtenez vos petits palmiers feuilletés prêts à cuire! Cuisson environ 15 min à 200°, thermostat 6-7 (surveiller vos palmiers car tout dépend de votre four). Servir dans un joli plat à l'apéritif. Succès garanti!",https://www.marmiton.org/recettes/recette_palmiers-pour-l-aperitif_73934.aspx,pas noel,aperitif/starter
